culture,typeOfEntity,authorizedFormOfName,parallelFormsOfName,standardizedFormsOfName,otherFormsOfName,corporateBodyIdentifiers,datesOfExistence,history,places,legalStatus,functions,mandates,internalStructures,generalContext,descriptionIdentifier,institutionIdentifier,rules,status,levelOfDetail,revisionHistory,sources,maintenanceNotes,actorOccupations,actorOccupationNotes,subjectAccessPoints,placeAccessPoints,digitalObjectURI,digitalObjectChecksum
pt_BR,Pessoa,"Luís Barreto",,,"Luiz Pereira Barreto",,"☆ [?]  † [?]",,,,"Eleito deputado para o Congresso Nacional Constituinte de 1890-91 pela província de São Paulo.","Reconhecimento em 9-11-1890.
Posse provavelmente no dia 15-11-1890, pois no dia 18 constava na chamada.",,,,,,,,,"BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.",,,,,,http://arquivohistorico02.camara.leg.br/uploads/r/null/4/2/1/4212c37a89961ab27a81a193645b5f097969cd251a99f1d3b9be342cf7d587d8/SP_-_Luiz_Barrreto.jpg,4212c37a89961ab27a81a193645b5f097969cd251a99f1d3b9be342cf7d587d8
pt_BR,Pessoa,"Martinho Prado Júnior",,,"Martinho da Silva Prado Júnior",,"☆ 17-11-1843  † 24-5-1906",,"São Paulo (SP) - local de nascimento
São Paulo (SP) - local de eleição para deputado federal",,"Profissões: Advogado e administrador rural

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1891-1893, SP. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1391,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/6/0/9609603381bff025b5db85b937a8c4dfd43f8631ab92f7d823b25d5f410411aa/SP_-_Martinho_Prado.jpg,9609603381bff025b5db85b937a8c4dfd43f8631ab92f7d823b25d5f410411aa
pt_BR,Pessoa,"Moraes Barros",,"Manoel de Moraes Barros",,,"☆ 1-5-1836  † [?]",,"São Paulo (SP) - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890; Deputado Federal, 1894-1896, SP, . Dt. Posse: 17-05-1894.",,,,BR-DFCD-1890-P1397,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/c/c/9ccd1f648c7fe58e7af93657fd2cfd01de686c7f0dd680385bfaaf8bcc5a7d04/SP_-_Moraes_Barros.jpg,9ccd1f648c7fe58e7af93657fd2cfd01de686c7f0dd680385bfaaf8bcc5a7d04
pt_BR,Pessoa,"Moreira da Silva",,,"Antônio Moreira da Silva",,"☆ 9-11-1851  † [?]",,"São Paulo (SP) - local de eleição para deputado federal",,"Profissões: Advogado e jornalista

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Dt. Reconhecimento em 9-11-1890. Posse: 15-11-1890;
- Deputado Federal, 1894-1896, SP, Dt. Posse: 17-05-1894;
- Deputado Federal, 1897-1899, SP, Dt. Posse: 16-08-1897;
- Deputado Federal, 1901-1902, SP, Dt. Posse: 30-05-1901;
- Deputado Federal, 1903-1905, SP, Dt. Posse: 02-05-1903.",.,,,BR-DFCD-1890-P1398,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",,
pt_BR,Pessoa,Mursa,,,"Joaquim de Souza Mursa",,"☆ [?]  † [?]",,"São Paulo - local de eleição para deputado federal",,"Profissões: Militar e engenheiro

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1399,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",,
pt_BR,Pessoa,"Paulino Carlos",,,"Paulino Carlos de Arruda Botelho",,"☆ 23-3-1834  † [?]",,"São Paulo (SP) - local de eleição para deputado federal",,"Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1894-1896, SP, Dt. Posse: 06-05-1894;
- Deputado Federal, 1897-1899, SP, Dt. Posse: 03-05-1897;
- Deputado Federal, 1900-1902, SP, Dt. Posse: 02-05-1900;
- Deputado Federal, 1903-1905, SP, Dt. Posse: 02-05-1903;
- Deputado Federal, 1906-1909, SP, Dt. Posse: 02-05-1906.",,,,BR-DFCD-1890-P1411,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/2/9/9299ef43a2943fc26f416b58569b2143271221ef0117062042455a15a1c14fbb/SP_-_Paulino_Carlos.jpg,9299ef43a2943fc26f416b58569b2143271221ef0117062042455a15a1c14fbb
pt_BR,Pessoa,"Rodolpho Miranda",,,"Rodolpho Nogueira da Rocha Miranda",,"☆ 8-11-1862  † [?]",,"São Paulo (SP) - local de eleição para deputado federal",,"Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Apresentação de Diploma em 5-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1897-1899, SP, Dt. Posse: 03-05-1897;
- Deputado Federal, 1901-1902, SP, Dt. Posse: 17-08-1901;
- Deputado Federal, 1903-1905, SP, Dt. Posse: 02-05-1903;
- Deputado Federal, 1906-1909, SP, Dt. Posse: 02-05-1906;
- Deputado Federal, 1909-1912, SP, Dt. Posse: 03-05-1909.",,,,BR-DFCD-1890-P1422,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",,
pt_BR,Pessoa,"Rodrigues Alves",,,"Francisco de Paula Rodrigues Alves",,"☆ 7-6-1848  † [?]",,"São Paulo - local de eleição para deputado federal",,"Profissões: Advogado, Bacharel em Direito e Magistrado

Atuação política:
- Deputado Geral, 1885, SP;
- Deputado Geral, 1886-1889, SP, Dt. Posse: 12/05/1886;
- Deputado Federal (Constituinte), 1890-1893, SP, Dt. Posse: 15/11/1890.",,,,,,,,,"Registro atualizado em 30-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo",http://arquivohistorico02.camara.leg.br/uploads/r/null/1/6/6/166db5e17aedd4937939bd7cc8943761f06841991cdd67511faeb1979ef59433/SP_-_Rodrigues_Alves.jpg,166db5e17aedd4937939bd7cc8943761f06841991cdd67511faeb1979ef59433
pt_BR,Pessoa,"Rubião Júnior",,,"João Alves Rubião Junior",,"☆ 14-6-1851  † [?]",,"São Paulo (SP) - local de eleição para deputado federal",,"Profissão: Advogado

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SP. Apresentação de Diploma em 7-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890.",,,,BR-DFCD-1890-P1424,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo (SP)",http://arquivohistorico02.camara.leg.br/uploads/r/null/2/8/e/28ed9fb82ee1c756574238b25336fbaab1478b0008cd8eac22f2b08f34e8c2aa/SP_-_Rubi__o_J__nior.jpg,28ed9fb82ee1c756574238b25336fbaab1478b0008cd8eac22f2b08f34e8c2aa
pt_BR,Pessoa,"Felisbello Freire",,,"Felisbello Firmo de Oliveira Freire",,"☆ 30-1-1858  † 8-5-1916",,"Itaporanga (SE) - local de nascimento
Sergipe - local de eleição para deputado federal",,"Profissões: Médico e jornalista

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SE. Apresentação de Diploma em 4-11-1890. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1897-1899, SE, .Dt. Posse: 16-06-1897;
- Deputado Federal, 1903-1905, SE, Dt. Posse: 07-05-1903;
- Deputado Federal, 1910-1912, SE, Dt. Posse: 03-09-1910;
- Deputado Federal, 1912-1915, SE, Dt. Posse: 02-05-1912;
- Deputado Federal, 1915-1918, SE, Dt. Posse: 03-05-1915.",,,,BR-DFCD-1890-P1343,,,,,"Registro atualizado em 19-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"Itaporanga (SE)|Sergipe",http://arquivohistorico02.camara.leg.br/uploads/r/null/9/d/0/9d0cc5e1bb6fee801200a845fdb14fba23ed8a3a097e3759217d6b7ec36eb328/FelisbelloFreire_Sergipe.jpg,9d0cc5e1bb6fee801200a845fdb14fba23ed8a3a097e3759217d6b7ec36eb328
pt_BR,Pessoa,"Ivo do Prado",,,"Ivo do Prado Monte Pires da França",,"☆ 10-12-1860  † [?]",,"Sergipe - local de eleição para deputado federal",,"Profissão: Militar

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SE. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1921-1924, SE, Dt. Posse: 03-05-1921.",,,,BR-DFCD-1890-P1364,,,,,"Registro atualizado em 21-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,Sergipe,http://arquivohistorico02.camara.leg.br/uploads/r/null/9/f/c/9fc0444e462523b6838cfe23a1bfc647adab2c72d736c5c3ca7f9c25074f1126/IvodoPrado_Sergipe.jpg,9fc0444e462523b6838cfe23a1bfc647adab2c72d736c5c3ca7f9c25074f1126
pt_BR,Pessoa,"Leandro Maciel",,,"Leandro Ribeiro de Siqueira Maciel",,"☆ [?]  † [?]",,"São Paulo - local de eleição para deputado federal
Sergipe -  local de eleição para deputado federal",,"Profissões: Advogado e Bacharel em Direito

Atuação política:
- Deputado Federal, 1869-1872, SP, Dt. Posse: 19/05/1869;
- Deputado Federal, 1877-1877, SE, Dt. Posse: 01/02/1877;
- Deputado Federal, 1885, SE;
- Deputado Federal (Constituinte), 1890-1893, SE, Dt. Posse: 20/11/1890.",,,,BR-DFCD-1869-P961,,,,,"Registro atualizado em 30-11-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,"São Paulo|Sergipe",http://arquivohistorico02.camara.leg.br/uploads/r/null/6/e/d/6ed223d94df79422a7aebcb13ce9ba22516ecb5998052d5a592129778450e086/LeandroMaciel_Sergipe.jpg,6ed223d94df79422a7aebcb13ce9ba22516ecb5998052d5a592129778450e086
pt_BR,Pessoa,"Oliveira Valladão","Oliveira Valadão",,"Manoel Prisciliano de Oliveira Valladão",,"☆ 4-1-1849  † [?]",,"Sergipe - local de eleição para deputado federal",,"Profissão: Militar

Atuação política:
- Deputado Federal (Congresso Nacional Constituinte de 1890-91), 1890-1893, SE. Reconhecimento em 9-11-1890. Dt. Posse: 15-11-1890;
- Deputado Federal, 1903-1905, SE, Dt. Posse: 06-05-1903;
- Deputado Federal, 1906-1909, SE, Dt. Posse: 08-05-1906.",,,,BR-DFCD-1890-P1407,,,,,"Registro atualizado em 23-10-2020","BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.","Atualizado por Sabrina Santana (Segap/Coarq)",,,,Sergipe,http://arquivohistorico02.camara.leg.br/uploads/r/null/5/7/4/574b828a988351f4f89b78bffa21303cbb41744f9bfa29fc47a9299f80a7c1ad/OliveiraValad__o_Sergipe.jpg,574b828a988351f4f89b78bffa21303cbb41744f9bfa29fc47a9299f80a7c1ad
pt_BR,Pessoa,"Custódio Santos",,,"Custódio Alves dos Santos",,"☆ [?]  † 11-11-1890",,,,"Eleito deputado para o Congresso Nacional Constituinte de 1890-91 pela província do Maranhão.","Reconhecimento em 12-11-1890.
Faleceu em 11-11-1890 antes de tomar posse.",,,,,,,,,"BRASIL. CONGRESSO. Câmara dos Deputados. Nominata de Deputados brasileiros: 1890 a 1951: lista nominal. [S.l. : s.n., 19--?] 1 v.",,,,,,http://arquivohistorico02.camara.leg.br/uploads/r/null/2/b/d/2bd47f765716c897295c756ce422422fc2eab5142a337abafd2f9d78d0de8fd8/Maranh__o_-_Cust__dio_Alves_Santos.jpg,2bd47f765716c897295c756ce422422fc2eab5142a337abafd2f9d78d0de8fd8
pt_BR,Pessoa,"Henrique Laje",,,"Henrique Laje",,"☆ 14-03-1881 † 02-07-1941",,"Rio de Janeiro (RJ) - local de nascimento.
Distrito Federal - local de eleição para deputado federal.",,"Profissão: Engenheiro.

Atuação Política:
- Deputado Federal, 1935-1937, DF. Dt. Posse: 02-05-1935",,,,BR-DFCD-1935-P2761,,,,,"Registro atualizado em 20-10-2020","BRASIL. Congresso. Câmara dos Deputados. Centro de Documentação e Informação. Nominata de deputados brasileiros. Legislatura: 1935 -1937. [Brasília], s.d. (folhas datilografadas)","Atualizado por Amanda Nogueira (Segap/Coarq)",,,,"Rio de Janeiro (RJ)|Distrito Federal (Brasil)",,
pt_BR,Pessoa,"Amaral Peixoto",,,"Augusto do Amaral Peixoto Júnior",,"☆ 07-11-1901 † [?]",,"Rio de Janeiro (RJ) - local de nascimento.
Distrito Federal - local de eleição para deputado federal.",,"Profissão: Militar.

Atuação Política:
- Deputado(a) Federal - (Constituinte), DF, Dt. Posse: 14-11-1933;
- Deputado(a) Federal - DF, Dt. Posse: 02-05-1935;
- Deputado(a) Federal - 1953-1955, DF, Dt. Posse: 03-11-1953",,,,BR-DFCD-1933-P2499,,,,,"Registro atualizado em 25-10-2020","BRASIL. Congresso. Câmara dos Deputados. Centro de Documentação e Informação. Nominata de deputados brasileiros. Legislatura: 1935 -1937. [Brasília], s.d. (folhas datilografadas).","Atualizado por Amanda Nogueira (Segap/Coarq)",,,,"Rio de Janeiro (RJ)|Distrito Federal (Brasil)",,
pt_BR,"Entidade coletiva","Comissão do Estatuto dos Funcionários Públicos","Comissão do Estatuto",,,,1937,,,,,,,,,,,,,,,,,,,,,
